route_id,route_name,stop_sequence,stop_id,stop_name,lat,lng
R2282031,Ratna Park - Kirtipur,15,S0085,Nagaon Dobato,27.674795,85.277757
R2282031,Ratna Park - Kirtipur,16,S0041,BishnuDevi Health Centre,27.680562,85.276439
R2282101,Ratna Park - Sundarijal,1,S0040,Sundarijal,27.757565,85.419394
R2282101,Ratna Park - Sundarijal,2,S0140,Gokarna Bus Stop,27.740306,85.39072
R2282101,Ratna Park - Sundarijal,3,S0125,Attarkhel,27.734548,85.382452
R2282101,Ratna Park - Sundarijal,4,S0135,Jorpati,27.721763,85.372632
R2282101,Ratna Park - Sundarijal,5,S0026,Boudha,27.72072,85.36176
R2282101,Ratna Park - Sundarijal,6,S0172,Hyatt Regency,27.7194,85.354109
R2282101,Ratna Park - Sundarijal,7,S0195,Chabahil चाबाहील,27.717,85.3465
R2282101,Ratna Park - Sundarijal,8,S0052,JayaBageshwari Stop,27.711989,85.344999
R2282101,Ratna Park - Sundarijal,9,S0204,Gaushala Chowk Stop,27.7082,85.3485
R2282101,Ratna Park - Sundarijal,10,S0045,Ratopul,27.708117,85.336428
R2282101,Ratna Park - Sundarijal,11,S0083,Gyaneshwor Chowk,27.708687,85.331826
R2282101,Ratna Park - Sundarijal,12,S0210,Ciy Center Stop,27.709819,85.326984
R2282101,Ratna Park - Sundarijal,13,S0094,Krishna Pauroti Stop,27.710369,85.322281
R2282101,Ratna Park - Sundarijal,14,S0042,Kamaladi Road (कमलादी) stop,27.707997,85.321282
R2282101,Ratna Park - Sundarijal,15,S0005,Putalisadak Stop,27.70569,85.322552
R2282101,Ratna Park - Sundarijal,16,S0066,Bhrikuti Mandap Stop,27.702122,85.318738
R2282101,Ratna Park - Sundarijal,17,S0086,Tourism Board Stop,27.702332,85.3168
R2282101,Ratna Park - Sundarijal,18,S0198,Purano Bus Park,27.703654,85.316517
R2294107,Ratna Park-Gwarko,1,S0020,Gwarko Chowk Stop,27.6705,85.334
R2294107,Ratna Park-Gwarko,2,S0141,Tyogal,27.668631,85.329848
R2294107,Ratna Park-Gwarko,3,S0133,Saughal,27.670479,85.327219
R2294107,Ratna Park-Gwarko,4,S0154,Mangalbazar,27.672641,85.32499
R2294107,Ratna Park-Gwarko,5,S0227,Mahapal,27.67355,85.32389
R2294107,Ratna Park-Gwarko,6,S0226,Gahabahal,27.674297,85.321046
R2294107,Ratna Park-Gwarko,7,S0058,Natole,27.676065,85.318202
R2294107,Ratna Park-Gwarko,8,S0142,UN Stop,27.678104,85.316327
R2294107,Ratna Park-Gwarko,9,S0168,Jwagal,27.685593,85.318106
R2294107,Ratna Park-Gwarko,10,S0063,Kupondole stop,27.688005,85.316248
R2294107,Ratna Park-Gwarko,11,S0185,Thapathali,27.691767,85.318016
R2294107,Ratna Park-Gwarko,12,S0132,Maitighar Stop--South,27.694112,85.319308
R2294107,Ratna Park-Gwarko,13,S0036,Singha Durbar West Stop,27.69659,85.321228
R2294107,Ratna Park-Gwarko,14,S0088,Bhadrakali,27.699352,85.317713
R2294107,Ratna Park-Gwarko,15,S0067,Shahid Gate,27.699685,85.314748
R2294107,Ratna Park-Gwarko,16,S0076,Sundhara Stop,27.700542,85.313503
R2294107,Ratna Park-Gwarko,17,S0100,RNAC stop,27.70221,85.313638
R2294107,Ratna Park-Gwarko,18,S0171,Bir Hospital,27.705723,85.314074
R2294107,Ratna Park-Gwarko,19,S0013,Ratna Park,27.706705,85.315249
R2294152,Ratna Park-Lagankhel,1,S0013,Ratna Park,27.706705,85.315249
R2294152,Ratna Park-Lagankhel,2,S0198,Purano Bus Park,27.703654,85.316517
R2294152,Ratna Park-Lagankhel,3,S0086,Tourism Board Stop,27.702332,85.3168
R2294152,Ratna Park-Lagankhel,4,S0088,Bhadrakali,27.699352,85.317713
R2294152,Ratna Park-Lagankhel,5,S0036,Singha Durbar West Stop,27.69659,85.321228
R2294152,Ratna Park-Lagankhel,6,S0097,Maitighar,27.693965,85.320962
R2294152,Ratna Park-Lagankhel,7,S0132,Maitighar Stop--South,27.694112,85.319308
R2294152,Ratna Park-Lagankhel,8,S0185,Thapathali,27.691767,85.318016
R2294152,Ratna Park-Lagankhel,9,S0063,Kupondole stop,27.688005,85.316248
R2294152,Ratna Park-Lagankhel,10,S0168,Jwagal,27.685593,85.318106
R2294152,Ratna Park-Lagankhel,11,S0328,Jwagal Chowk,27.683512,85.321045
R2294152,Ratna Park-Lagankhel,12,S0283,Nabil Bank,27.6828614259285,85.3184559776392
R2294152,Ratna Park-Lagankhel,13,S0284,Harihar Bhawan/ Krishna galli,27.6812082856123,85.317350907549
R2294152,Ratna Park-Lagankhel,14,S0142,UN Stop,27.678104,85.316327
R2294152,Ratna Park-Lagankhel,15,S0116,Damkal,27.675796,85.315747
R2294152,Ratna Park-Lagankhel,16,S0103,Jawlakhel Stop,27.672577,85.314174
R2294152,Ratna Park-Lagankhel,17,S0213,Kumaripati,27.67084,85.320098
R2294152,Ratna Park-Lagankhel,18,S0155,Patan Hospital,27.668489,85.321642
R2294152,Ratna Park-Lagankhel,19,S0112,Lagankhel Stop,27.6668,85.3219
R2294152,Ratna Park-Lagankhel,20,S0223,Lalitpur Industrial Estate,27.667312,85.322256
R2295734,Ratna Park-Budhanilkantha School,1,S0013,Ratna Park,27.706705,85.315249
R2295734,Ratna Park-Budhanilkantha School,2,S0166,Kantipath,27.708912,85.314607
R2295734,Ratna Park-Budhanilkantha School,3,S0152,Jamal,27.708829,85.315292
R2295734,Ratna Park-Budhanilkantha School,4,S0193,Lainchour Chowk Bus Stop,27.717048,85.316046
R2295734,Ratna Park-Budhanilkantha School,5,S0087,Lainchaur stop,27.718757,85.317697
R2295734,Ratna Park-Budhanilkantha School,6,S0149,Lazimpat stop,27.722523,85.320924
R2295734,Ratna Park-Budhanilkantha School,7,S0082,Panipokhari stop,27.730686,85.325986
R2295734,Ratna Park-Budhanilkantha School,8,S0124,Teaching Hospital stop,27.734523,85.330711
R2295734,Ratna Park-Budhanilkantha School,9,S0030,Chakrapath Stop-- South,27.739835,85.336915
R2295734,Ratna Park-Budhanilkantha School,10,S0044,Narayan Gopal Chowk,27.740022,85.337201
R2295734,Ratna Park-Budhanilkantha School,11,S0158,Bansbari stop,27.745758,85.342373
R2295734,Ratna Park-Budhanilkantha School,12,S0231,Golfutar stop,27.75144,85.345969
R2295734,Ratna Park-Budhanilkantha School,13,S0038,Deuba Chowk stop,27.773756,85.36033
R2295734,Ratna Park-Budhanilkantha School,14,S0096,Budhanilkantha Micro Stand,27.776459,85.361934
R2295734,Ratna Park-Budhanilkantha School,15,S0176,Budhanilkantha Stop,27.776743,85.36214
R2295734,Ratna Park-Budhanilkantha School,16,S0143,Budhanilkantha School Blue Micro Stand,27.778969,85.358998
R2295768,Ratnapark-Mangal Bazaar,1,S0013,Ratna Park,27.706705,85.315249
R2295768,Ratnapark-Mangal Bazaar,2,S0198,Purano Bus Park,27.703654,85.316517
R2295768,Ratnapark-Mangal Bazaar,3,S0086,Tourism Board Stop,27.702332,85.3168
R2295768,Ratnapark-Mangal Bazaar,4,S0088,Bhadrakali,27.699352,85.317713
R2295768,Ratnapark-Mangal Bazaar,5,S0036,Singha Durbar West Stop,27.69659,85.321228
R2295768,Ratnapark-Mangal Bazaar,6,S0097,Maitighar,27.693965,85.320962
R2295768,Ratnapark-Mangal Bazaar,7,S0132,Maitighar Stop--South,27.694112,85.319308
R2295768,Ratnapark-Mangal Bazaar,8,S0185,Thapathali,27.691767,85.318016
R2295768,Ratnapark-Mangal Bazaar,9,S0063,Kupondole stop,27.688005,85.316248
R2295768,Ratnapark-Mangal Bazaar,10,S0168,Jwagal,27.685593,85.318106
R2295768,Ratnapark-Mangal Bazaar,11,S0142,UN Stop,27.678104,85.316327
R2295768,Ratnapark-Mangal Bazaar,12,S0058,Natole,27.676065,85.318202
R2295768,Ratnapark-Mangal Bazaar,13,S0226,Gahabahal,27.674297,85.321046
R2295768,Ratnapark-Mangal Bazaar,14,S0227,Mahapal,27.67355,85.32389
R2295768,Ratnapark-Mangal Bazaar,15,S0154,Mangalbazar,27.672641,85.32499
R2295902,KattyaniChowk-Sundhara,1,S0076,Sundhara Stop,27.700542,85.313503
R2295902,KattyaniChowk-Sundhara,2,S0067,Shahid Gate,27.699685,85.314748
R2295902,KattyaniChowk-Sundhara,3,S0086,Tourism Board Stop,27.702332,85.3168
