route_id,stop_id,sequence_no,stop_name
R2295986,S0028,7,Babarmahal
R2295986,S0076,7,Sundhara Stop
R2295986,S0099,8,Babarmahal Stop West
R2295986,S0100,8,RNAC stop
R2295986,S0171,9,Bir Hospital
R2295986,S0036,10,Singha Durbar West Stop
R2295986,S0013,10,Ratna Park
R2295986,S0088,11,Bhadrakali
R2295986,S0198,11,Purano Bus Park
R2295986,S0086,12,Tourism Board Stop
R2301161,S0101,1,MAV School
R2301161,S0011,2,Satdobato Chowk Stop
R2301161,S0219,3,Lagankhel
R2301161,S0194,4,Batuk Bhairav
R2301161,S0112,5,Lagankhel Stop
R2301161,S0223,6,Lalitpur Industrial Estate
R2301161,S0155,7,Patan Hospital
R2301161,S0213,8,Kumaripati
R2301161,S0103,9,Jawlakhel Stop
R2301161,S0175,10,Jawalakhel
R2301161,S0116,10,Damkal
R2301161,S0142,11,UN Stop
R2301161,S0168,12,Jwagal
R2301161,S0063,13,Kupondole stop
R2301161,S0185,15,Thapathali
R2301161,S0088,15,Bhadrakali
R2301161,S0132,16,Maitighar Stop--South
R2301161,S0067,16,Shahid Gate
R2301161,S0036,17,Singha Durbar West Stop
R2301161,S0076,17,Sundhara Stop
R2301161,S0100,18,RNAC stop
R2301161,S0171,19,Bir Hospital
R2301161,S0166,20,Kantipath
R2301161,S0152,21,Jamal
R2301161,S0137,22,Ghantaghar (घण्टाघर) stop
R2301161,S0198,23,Purano Bus Park
R2301205,S0198,1,Purano Bus Park
R2301205,S0086,2,Tourism Board Stop
R2301205,S0067,3,Shahid Gate
R2301205,S0076,4,Sundhara Stop
R2301205,S0100,5,RNAC stop
R2301205,S0171,6,Bir Hospital
R2301205,S0166,7,Kantipath
R2301205,S0152,8,Jamal
R2301205,S0193,9,Lainchour Chowk Bus Stop
R2301205,S0087,10,Lainchaur stop
R2301205,S0149,11,Lazimpat stop
R2301205,S0437,12,Lazimpat stop - Panipokhari stop Link
R2301205,S0082,13,Panipokhari stop
R2301205,S0124,14,Teaching Hospital stop
R2301205,S0030,15,Chakrapath Stop-- South
R2301205,S0044,16,Narayan Gopal Chowk
R2301205,S0158,17,Bansbari stop
R2301205,S0231,18,Golfutar stop
R2301205,S0038,19,Deuba Chowk stop
R2301205,S0096,20,Budhanilkantha Micro Stand
R2301205,S0176,21,Budhanilkantha Stop
R2301205,S0434,22,Budhanilkantha Stop - Shivapuri Park Stop Link
R2301205,S0144,23,Shivapuri Park Stop
R2301206,S0198,1,Purano Bus Park
R2301206,S0137,2,Ghantaghar (घण्टाघर) stop
R2301206,S0152,3,Jamal
R2301206,S0166,4,Kantipath
R2301206,S0193,5,Lainchour Chowk Bus Stop
R2301206,S0087,6,Lainchaur stop
R2301206,S0149,7,Lazimpat stop
R2301206,S0437,8,Lazimpat stop - Panipokhari stop Link
R2301206,S0082,9,Panipokhari stop
R2301206,S0124,10,Teaching Hospital stop
R2301206,S0030,11,Chakrapath Stop-- South
R2301206,S0044,12,Narayan Gopal Chowk
R2301206,S0158,13,Bansbari stop
R2301206,S0231,14,Golfutar stop
R2301206,S0038,15,Deuba Chowk stop
R2301206,S0096,16,Budhanilkantha Micro Stand
R2301206,S0176,17,Budhanilkantha Stop
R2301206,S0434,18,Budhanilkantha Stop - Shivapuri Park Stop Link
R2301206,S0144,19,Shivapuri Park Stop
R2301263,S0174,1,Naya Bus Park
R2301263,S0169,2,Gongabu Chowk
R2301263,S0187,3,Samakhusi Stop
R2301263,S0065,4,Basundhara
R2301263,S0030,5,Chakrapath Stop-- South
R2301263,S0044,6,Narayan Gopal Chowk
R2301263,S0109,7,Chapal Karkhana stop
R2301263,S0118,8,Dhumbarahi
R2301263,S0217,9,Sukedhara Stop
R2301263,S0134,10,Gopi Krishna Stop
R2301263,S0195,11,Chabahil चाबाहील
R2301263,S0052,12,JayaBageshwari Stop
R2301263,S0204,13,Gaushala Chowk Stop
R2301263,S0071,14,पिङ्गलस्थान
R2301263,S0070,15,Airport Bus Station
R2301263,S0139,16,Sinamangal/Ring Road Stop सिनामंगल
R2301263,S0053,17,Gairigaun Stop
R2301263,S0107,18,Koteshwor Stop
R2301263,S0024,19,Balkumari Stop
R2301263,S0220,20,Balkumari Bridge Stop
R2301263,S0020,21,Gwarko Chowk Stop
R2301263,S0182,22,B & B Hospital/KCM Stop
R2301263,S0011,23,Satdobato Chowk Stop
R2301263,S0214,24,Ekantakuna
R2301263,S0106,25,Nakhu Stop
R2301263,S0189,26,Sanepa height
R2301263,S0230,27,Balkhu
R2301263,S0233,28,Balkhu Stop
R2301263,S0064,29,Khasibazaar
R2301263,S0130,30,Kalanki
R2301263,S0090,31,Sitapaila Stop
R2301263,S0162,32,Thulo Bharang Stop
R2301263,S0228,33,Dhungedhara
R2301263,S0212,34,Banasthali
R2301263,S0113,35,Balaju
R2301306,S0024,1,Balkumari Stop
R2301306,S0220,2,Balkumari Bridge Stop
R2301306,S0107,3,Koteshwor Stop
R2301306,S0203,3,Tinkune Subidhanagar
R2301306,S0017,4,Tinkune Stop
R2301306,S0127,6,Shantinagar Stop
R2301306,S0075,6,New Baneshwor West
R2301306,S0029,7,Minbhawan
R2301306,S0108,7,Thapagaun Stop
R2301306,S0114,8,Baneshwor Bus Station
R2301306,S0033,8,Bijulibazar Stop
R2301306,S0074,9,नयाँ बानेश्वर
R2301306,S0015,9,Hanumanthan Stop
R2301306,S0209,10,Singha Durbar East Stop
R2301306,S0091,11,Naya Baneshwor Tempo Stop
R2301306,S0196,11,Anamnagar Stop
R2301306,S0102,12,New Plaza Stop
R2301306,S0042,14,Kamaladi Road (कमलादी) stop
R2301306,S0094,15,Krishna Pauroti Stop
R2301306,S0188,16,Gairidhara
R2301306,S0051,17,Tangal
R2301306,S0005,18,Putalisadak Stop
R2301306,S0197,18,Police Headquarter Stop
R2301306,S0206,19,Putalisadak chowk
R2301306,S0105,19,Bhatbhatini Stop
R2301306,S0068,20,Baluwatar
R2301306,S0124,21,Teaching Hospital stop
R2301306,S0030,22,Chakrapath Stop-- South
R2301306,S0044,23,Narayan Gopal Chowk
R2301306,S0109,24,Chapal Karkhana stop
R2301306,S0118,25,Dhumbarahi
R2301306,S0217,26,Sukedhara Stop
R2301306,S0134,27,Gopi Krishna Stop
R2301357,S0075,2,New Baneshwor West
R2301357,S0091,2,Naya Baneshwor Tempo Stop
R2301357,S0167,3,ShivaDarshan Hall Stop
R2301357,S0059,4,SchEMS
R2301357,S0205,5,Ratna Rajya Stop
R2301357,S0077,6,Apex College Stop
R2301357,S0046,7,Tempo Stop Near Old Baneshwar
R2301357,S0222,8,Old Baneshwor
R2301357,S0012,9,Ratopul Stop
R2301357,S0045,9,Ratopul
R2301357,S0204,10,Gaushala Chowk Stop
R2301357,S0052,11,JayaBageshwari Stop
R2301357,S0195,12,Chabahil चाबाहील
R2301358,S0124,1,Teaching Hospital stop
R2301358,S0030,2,Chakrapath Stop-- South
R2301358,S0044,3,Narayan Gopal Chowk
R2301358,S0134,4,Gopi Krishna Stop
R2301358,S0217,5,Sukedhara Stop
R2301358,S0118,6,Dhumbarahi
R2301358,S0109,7,Chapal Karkhana stop
R2301358,S0134,8,Gopi Krishna Stop
R2301358,S0195,8,Chabahil चाबाहील
R2301358,S0052,9,JayaBageshwari Stop
R2301358,S0204,10,Gaushala Chowk Stop
R2301358,S0222,11,Old Baneshwor
R2301358,S0167,12,ShivaDarshan Hall Stop
R2301358,S0059,13,SchEMS
R2301358,S0205,14,Ratna Rajya Stop
R2301358,S0077,15,Apex College Stop
R2301358,S0046,16,Tempo Stop Near Old Baneshwar
R2302674,S0291,1,Naikap Bus Stop
R2302674,S0292,2,Bosigaun Chowk / Checkpost
R2302674,S0275,3,Dui Adda (Dhunga Adda)
R2302674,S0130,4,Kalanki
R2302674,S0295,5,Underpass East / Khasibazaar
R2302674,S0296,6,Soalteemode East
R2302674,S0263,7,Ravi Bhavan
R2302674,S0192,8,Naya Naikap
R2302674,S0023,8,Kalimati
R2302674,S0276,9,Tek (Teku)
R2302674,S0056,10,Tripureshwor
R2302674,S0185,12,Thapathali
R2302674,S0132,13,Maitighar Stop--South
R2302674,S0099,13,Babarmahal Stop West
R2302674,S0097,14,Maitighar
R2302674,S0028,15,Babarmahal
R2302674,S0069,15,Naya Baneshwor Tampoo Station
R2302674,S0029,16,Minbhawan
R2302674,S0034,17,Buddhanagar Stop
R2302674,S0127,17,Shantinagar Stop
R2302674,S0062,18,Babarmahal Stop East
R2302674,S0203,18,Tinkune Subidhanagar
R2302674,S0015,19,Hanumanthan Stop
R2302674,S0107,19,Koteshwor Stop
R2302674,S0304,20,Naya Baneshwor Chowk
R2302674,S0034,21,Buddhanagar Stop
R2302674,S0074,23,नयाँ बानेश्वर
R2302674,S0114,24,Baneshwor Bus Station
R2302674,S0017,27,Tinkune Stop
R2307657,S0360,1,Lubhu Bus Park
R2307657,S0361,2,Dungin / School Chowk
R2307657,S0362,3,Sanagaun Chowk
R2307657,S0363,4,Siddhipur / Tikathali Dobato
R2307657,S0364,5,Imadol Krishna Mandir
R2307657,S0365,6,Ratamakai Chowk
R2307657,S0366,7,KIST Hospital Chowk
R2307657,S0020,7,Gwarko Chowk Stop
R2307657,S0367,8,Prayag Pokhari / Patan College
R2307657,S0368,9,Patan Hospital Dobato
R2307657,S0112,10,Lagankhel Stop
R2323381,S0143,1,Budhanilkantha School Blue Micro Stand
R2323381,S0096,2,Budhanilkantha Micro Stand
R2323381,S0176,3,Budhanilkantha Stop
R2323381,S0038,4,Deuba Chowk stop
R2323381,S0231,5,Golfutar stop
R2323381,S0158,6,Bansbari stop
R2323381,S0030,7,Chakrapath Stop-- South
R2323381,S0044,8,Narayan Gopal Chowk
R2323381,S0124,9,Teaching Hospital stop
R2323381,S0082,10,Panipokhari stop
R2323381,S0437,11,Lazimpat stop - Panipokhari stop Link
R2323381,S0149,12,Lazimpat stop
R2323381,S0087,13,Lainchaur stop
R2323381,S0193,14,Lainchour Chowk Bus Stop
R2323381,S0152,15,Jamal
R2323381,S0166,16,Kantipath
R2323381,S0137,17,Ghantaghar (घण्टाघर) stop
R2323381,S0013,18,Ratna Park
R2909799,S0025,1,Kamal Binayak
R2909799,S0050,2,Mahalaxmi Stop
R2909799,S0165,3,Mahakali Stop
R2909799,S0199,4,Byasi Stop
R2909799,S0081,5,Bhaktapur Hospital Stop
R2909799,S0161,6,Bhaktapur Bus Park
R2909799,S0014,7,Sallaghari North
R2909799,S0098,8,Tinkune Bhaktapur
R2909799,S0080,9,Srijana nagar
R2909799,S0202,10,Srijananagar
R2909799,S0147,11,Radhe Radhe
R2909799,S0110,12,Thimi Stop
R2909799,S0021,13,Thimi
R2909799,S0007,14,Chardobato
R2909799,S0092,15,Gathaghar
R2909799,S0004,16,Kaushaltar
R2909799,S0203,16,Tinkune Subidhanagar
R2909799,S0022,17,Lokanthali North
R2909799,S0159,18,Jadibuti
R2909799,S0215,19,Jadibuti Stop
R2909799,S0062,19,Babarmahal Stop East
R2909799,S0159,20,Jadibuti
R2909799,S0034,20,Buddhanagar Stop
R2909799,S0107,21,Koteshwor Stop
R2909799,S0097,21,Maitighar
R2909799,S0017,22,Tinkune Stop
R2909799,S0102,22,New Plaza Stop
R2909799,S0031,23,Bagbazar Stop
R2909799,S0127,24,Shantinagar Stop
R2909799,S0029,25,Minbhawan
R2909799,S0114,26,Baneshwor Bus Station
R2909799,S0074,27,नयाँ बानेश्वर
R2909799,S0034,30,Buddhanagar Stop
R2909799,S0028,31,Babarmahal
R2909799,S0099,32,Babarmahal Stop West
R2909799,S0036,34,Singha Durbar West Stop
R2909799,S0005,36,Putalisadak Stop
R2909799,S0206,37,Putalisadak chowk
R2975649,S0198,1,Purano Bus Park
R2975649,S0086,2,Tourism Board Stop
R2975649,S0088,3,Bhadrakali
R2975649,S0036,4,Singha Durbar West Stop
R2975649,S0097,5,Maitighar
R2975649,S0028,6,Babarmahal
R2975649,S0099,6,Babarmahal Stop West
R2975649,S0034,8,Buddhanagar Stop
R2975649,S0069,8,Naya Baneshwor Tampoo Station
R2975649,S0062,9,Babarmahal Stop East
R2975649,S0029,9,Minbhawan
R2975649,S0034,10,Buddhanagar Stop
R2975649,S0127,10,Shantinagar Stop
R2975649,S0017,11,Tinkune Stop
R2975649,S0074,12,नयाँ बानेश्वर
R2975649,S0053,12,Gairigaun Stop
R2975649,S0114,13,Baneshwor Bus Station
R2975649,S0139,13,Sinamangal/Ring Road Stop सिनामंगल
R2975649,S0070,14,Airport Bus Station
R2975649,S0071,15,पिङ्गलस्थान
R2975649,S0204,16,Gaushala Chowk Stop
R2975649,S0203,17,Tinkune Subidhanagar
R2975649,S0052,17,JayaBageshwari Stop
R2975649,S0195,18,Chabahil चाबाहील
R2975649,S0134,19,Gopi Krishna Stop
R2975649,S0217,20,Sukedhara Stop
R2975649,S0118,21,Dhumbarahi
R2975649,S0109,22,Chapal Karkhana stop
R2975649,S0030,23,Chakrapath Stop-- South
R2975649,S0044,24,Narayan Gopal Chowk
R2988806,S0013,1,Ratna Park
R2988806,S0198,2,Purano Bus Park
R2988806,S0086,3,Tourism Board Stop
R2988806,S0278,4,"N.A.Bh (Nepal Army Headquarters, Bhadrakali)"
R2988806,S0088,4,Bhadrakali
R2988806,S0036,5,Singha Durbar West Stop
R2988806,S0097,6,Maitighar
R2988806,S0099,7,Babarmahal Stop West
R2988806,S0028,8,Babarmahal
R2988806,S0069,9,Naya Baneshwor Tampoo Station
R2988806,S0034,10,Buddhanagar Stop
R2988806,S0029,10,Minbhawan
R2988806,S0062,11,Babarmahal Stop East
R2988806,S0127,11,Shantinagar Stop
R2988806,S0015,12,Hanumanthan Stop
R2988806,S0017,12,Tinkune Stop
R2988806,S0304,13,Naya Baneshwor Chowk
R2988806,S0107,13,Koteshwor Stop
R2988806,S0034,14,Buddhanagar Stop
R2988806,S0159,14,Jadibuti
R2988806,S0313,15,Balkot Mod
R2988806,S0074,16,नयाँ बानेश्वर
R2988806,S0314,16,Balkot Chowk
R2988806,S0114,17,Baneshwor Bus Station
R2988806,S0315,17,Gamcha Bus Stop
R2988806,S0316,18,Biruwa / Dadhikot Mod
R2988806,S0317,19,Dadhikot Health Post
R2988806,S0203,21,Tinkune Subidhanagar
R2988806,S0215,23,Jadibuti Stop
R2988806,S0022,25,Lokanthali North
R2988806,S0004,26,Kaushaltar
R2988806,S0312,27,Lokanthali South
R2988806,S0092,33,Gathaghar
R2988806,S0007,34,Chardobato
R2988806,S0021,35,Thimi
R2988809,S0198,1,Purano Bus Park
R2988809,S0086,2,Tourism Board Stop
R2988809,S0088,3,Bhadrakali
R2988809,S0036,4,Singha Durbar West Stop
R2988809,S0097,5,Maitighar
R2988809,S0028,6,Babarmahal
R2988809,S0099,6,Babarmahal Stop West
R2988809,S0034,8,Buddhanagar Stop
R2988809,S0069,8,Naya Baneshwor Tampoo Station
R2988809,S0062,9,Babarmahal Stop East
R2988809,S0029,9,Minbhawan
R2988809,S0034,10,Buddhanagar Stop
R2988809,S0127,10,Shantinagar Stop
R2988809,S0017,11,Tinkune Stop
R2988809,S0074,12,नयाँ बानेश्वर
R2988809,S0053,12,Gairigaun Stop
R2988809,S0114,13,Baneshwor Bus Station
R2988809,S0139,13,Sinamangal/Ring Road Stop सिनामंगल
R2988809,S0070,14,Airport Bus Station
R2988809,S0071,15,पिङ्गलस्थान
R2988809,S0204,16,Gaushala Chowk Stop
R2988809,S0203,17,Tinkune Subidhanagar
R2988809,S0052,17,JayaBageshwari Stop
R2988809,S0195,18,Chabahil चाबाहील
R2988809,S0172,19,Hyatt Regency
R2988809,S0026,20,Boudha
R2988809,S0135,21,Jorpati
R2988809,S0369,22,Thali
R2988809,S0370,23,Danchhi
R2988809,S0371,24,Bramhakhel
R2988809,S0146,25,Sakhu Stop
R2988810,S0198,1,Purano Bus Park
R2988810,S0086,2,Tourism Board Stop
R2988810,S0067,3,Shahid Gate
R2988810,S0076,4,Sundhara Stop
R2988810,S0100,5,RNAC stop
R2988810,S0171,6,Bir Hospital
R2988810,S0166,7,Kantipath
R2988810,S0152,8,Jamal
R2988810,S0193,9,Lainchour Chowk Bus Stop
R2988810,S0087,10,Lainchaur stop
R2988810,S0149,11,Lazimpat stop
R2988810,S0437,12,Lazimpat stop - Panipokhari stop Link
R2988810,S0082,13,Panipokhari stop
R2988810,S0124,14,Teaching Hospital stop
R2988810,S0030,15,Chakrapath Stop-- South
R2988810,S0044,16,Narayan Gopal Chowk
R2988810,S0158,17,Bansbari stop
R2988810,S0231,18,Golfutar stop
R2988810,S0038,19,Deuba Chowk stop
R2988810,S0096,20,Budhanilkantha Micro Stand
R2988810,S0176,21,Budhanilkantha Stop
R2988835,S0076,1,Sundhara Stop
R2988835,S0013,2,Ratna Park
R2988835,S0198,3,Purano Bus Park
R2988835,S0086,4,Tourism Board Stop
R2988835,S0067,4,Shahid Gate
R2988835,S0056,6,Tripureshwor
R2988835,S0023,7,Kalimati
R2988835,S0130,9,Kalanki
R2988835,S0054,10,Nikap
R2988835,S0008,11,Sataungal
R2988835,S0119,12,Thankot Checkpost
R2988836,S0010,1,Thankot
R2988836,S0119,3,Thankot Checkpost
R2988836,S0008,4,Sataungal
R2988836,S0054,5,Nikap
R2988836,S0130,6,Kalanki
R2988836,S0023,7,Kalimati
R2988836,S0056,8,Tripureshwor
R2988836,S0076,9,Sundhara Stop
R2988836,S0100,10,RNAC stop
R2988836,S0171,11,Bir Hospital
R2988836,S0013,12,Ratna Park
R2988890,S0031,1,Bagbazar Stop
R2988890,S0198,2,Purano Bus Park
R2988890,S0086,3,Tourism Board Stop
R2988890,S0088,4,Bhadrakali
R2988890,S0036,5,Singha Durbar West Stop
R2988890,S0097,6,Maitighar
R2988890,S0028,7,Babarmahal
R2988890,S0099,8,Babarmahal Stop West
R2988890,S0034,9,Buddhanagar Stop
R2988890,S0062,10,Babarmahal Stop East
R2988890,S0069,10,Naya Baneshwor Tampoo Station
R2988890,S0034,11,Buddhanagar Stop
R2988890,S0029,11,Minbhawan
R2988890,S0127,12,Shantinagar Stop
R2988890,S0074,13,नयाँ बानेश्वर
R2988890,S0017,13,Tinkune Stop
R2988890,S0114,14,Baneshwor Bus Station
R2988890,S0107,14,Koteshwor Stop
R2988890,S0159,15,Jadibuti
R2988890,S0022,16,Lokanthali North
R2988890,S0004,17,Kaushaltar
R2988890,S0203,18,Tinkune Subidhanagar
R2988890,S0092,18,Gathaghar
R2988890,S0007,19,Chardobato
R2988890,S0215,21,Jadibuti Stop
R2988890,S0147,21,Radhe Radhe
R2988890,S0159,22,Jadibuti
R2988890,S0202,22,Srijananagar
R2988890,S0098,23,Tinkune Bhaktapur
R2988890,S0014,24,Sallaghari North
R2988890,S0081,25,Bhaktapur Hospital Stop
R2988890,S0161,26,Bhaktapur Bus Park
R2988890,S0021,27,Thimi
R2988890,S0199,27,Byasi Stop
R2988890,S0165,28,Mahakali Stop
R2988890,S0080,29,Srijana nagar
R2988890,S0050,29,Mahalaxmi Stop
R2988890,S0025,30,Kamal Binayak
R2988891,S0198,1,Purano Bus Park
R2988891,S0086,2,Tourism Board Stop
R2988891,S0088,3,Bhadrakali
R2988891,S0036,4,Singha Durbar West Stop
R2988891,S0097,5,Maitighar
R2988891,S0028,6,Babarmahal
R2988891,S0099,6,Babarmahal Stop West
R2988891,S0034,8,Buddhanagar Stop
R2988891,S0069,8,Naya Baneshwor Tampoo Station
R2988891,S0062,9,Babarmahal Stop East
R2988891,S0029,9,Minbhawan
R2988891,S0034,10,Buddhanagar Stop
R2988891,S0127,10,Shantinagar Stop
R2988891,S0017,11,Tinkune Stop
R2988891,S0074,12,नयाँ बानेश्वर
R2988891,S0107,12,Koteshwor Stop
R2988891,S0114,13,Baneshwor Bus Station
R2988891,S0159,13,Jadibuti
R2988891,S0022,14,Lokanthali North
R2988891,S0004,15,Kaushaltar
R2988891,S0092,16,Gathaghar
R2988891,S0203,17,Tinkune Subidhanagar
R2988891,S0007,17,Chardobato
R2988891,S0147,19,Radhe Radhe
R2988891,S0215,20,Jadibuti Stop
R2988891,S0202,20,Srijananagar
R2988891,S0159,21,Jadibuti
R2988891,S0098,21,Tinkune Bhaktapur
R2988891,S0095,22,Sallaghari Stop
R2988891,S0229,23,Chundevi Bus Stop (Chunudevi)
R2988891,S0019,24,Barahi Movies
R2988891,S0089,25,Suryabinayek
R2988891,S0021,26,Thimi
R2988891,S0178,26,Adarsha
R2988891,S0190,27,Jagati
R2988891,S0080,28,Srijana nagar
R2988891,S0117,28,Sanga
R2988891,S0160,29,Bansdol
R2988891,S0121,30,Banepa Tindobato
R2988891,S0153,31,Poolbazar Bus Stop (Pulbazar)
R2988891,S0122,32,Chunudevi
R2988891,S0136,32,Banepa
R2988891,S0208,33,Panauti
R2988893,S0031,1,Bagbazar Stop
R2988893,S0198,2,Purano Bus Park
R2988893,S0086,3,Tourism Board Stop
R2988893,S0088,4,Bhadrakali
R2988893,S0036,5,Singha Durbar West Stop
R2988893,S0097,6,Maitighar
R2988893,S0028,7,Babarmahal
R2988893,S0099,8,Babarmahal Stop West
R2988893,S0034,9,Buddhanagar Stop
R2988893,S0069,9,Naya Baneshwor Tampoo Station
R2988893,S0062,10,Babarmahal Stop East
R2988893,S0029,10,Minbhawan
R2988893,S0034,11,Buddhanagar Stop
R2988893,S0127,11,Shantinagar Stop
R2988893,S0017,12,Tinkune Stop
R2988893,S0074,13,नयाँ बानेश्वर
R2988893,S0107,13,Koteshwor Stop
R2988893,S0114,14,Baneshwor Bus Station
R2988893,S0159,14,Jadibuti
R2988893,S0022,15,Lokanthali North
R2988893,S0004,16,Kaushaltar
R2988893,S0092,17,Gathaghar
R2988893,S0203,18,Tinkune Subidhanagar
R2988893,S0007,18,Chardobato
R2988893,S0147,20,Radhe Radhe
R2988893,S0215,21,Jadibuti Stop
R2988893,S0202,21,Srijananagar
R2988893,S0159,22,Jadibuti
R2988893,S0098,22,Tinkune Bhaktapur
R2988893,S0014,23,Sallaghari North
R2988893,S0081,24,Bhaktapur Hospital Stop
R2988893,S0161,25,Bhaktapur Bus Park
R2988893,S0199,26,Byasi Stop
R2988893,S0021,27,Thimi
R2988893,S0165,27,Mahakali Stop
R2988893,S0224,28,Changu Narayan
R2988893,S0080,29,Srijana nagar
R2988930,S0025,1,Kamal Binayak
R2988930,S0039,2,Nagarkot
R2988983,S0145,1,Chyamasingh
R2988983,S0190,2,Jagati
R2988983,S0178,3,Adarsha
R2988983,S0089,4,Suryabinayek
R2988983,S0229,5,Chundevi Bus Stop (Chunudevi)
R2988983,S0019,6,Barahi Movies
R2988983,S0122,7,Chunudevi
R2988983,S0098,7,Tinkune Bhaktapur
R2988983,S0095,8,Sallaghari Stop
R2988983,S0080,10,Srijana nagar
R2988983,S0202,11,Srijananagar
R2988983,S0147,12,Radhe Radhe
R2988983,S0110,13,Thimi Stop
R2988983,S0021,14,Thimi
R2988983,S0007,15,Chardobato
R2988983,S0092,16,Gathaghar
R2988983,S0203,16,Tinkune Subidhanagar
R2988983,S0004,17,Kaushaltar
R2988983,S0022,18,Lokanthali North
R2988983,S0159,19,Jadibuti
R2988983,S0062,19,Babarmahal Stop East
R2988983,S0215,20,Jadibuti Stop
R2988983,S0034,20,Buddhanagar Stop
R2988983,S0159,21,Jadibuti
R2988983,S0097,21,Maitighar
R2988983,S0107,22,Koteshwor Stop
R2988983,S0088,22,Bhadrakali
R2988983,S0017,23,Tinkune Stop
R2988983,S0067,23,Shahid Gate
R2988983,S0076,24,Sundhara Stop
R2988983,S0127,25,Shantinagar Stop
R2988983,S0100,25,RNAC stop
R2988983,S0029,26,Minbhawan
R2988983,S0171,26,Bir Hospital
R2988983,S0114,27,Baneshwor Bus Station
R2988983,S0013,27,Ratna Park
R2988983,S0074,28,नयाँ बानेश्वर
R2988983,S0034,31,Buddhanagar Stop
R2988983,S0028,32,Babarmahal
R2988983,S0099,33,Babarmahal Stop West
R2988983,S0036,35,Singha Durbar West Stop
R2988983,S0031,42,Bagbazar Stop
R2988993,S0198,1,Purano Bus Park
R2988993,S0086,2,Tourism Board Stop
R2988993,S0088,3,Bhadrakali
R2988993,S0036,4,Singha Durbar West Stop
R2988993,S0097,5,Maitighar
R2988993,S0028,6,Babarmahal
R2988993,S0099,6,Babarmahal Stop West
R2988993,S0034,8,Buddhanagar Stop
R2988993,S0069,8,Naya Baneshwor Tampoo Station
R2988993,S0062,9,Babarmahal Stop East
R2988993,S0029,9,Minbhawan
R2988993,S0034,10,Buddhanagar Stop
R2988993,S0127,10,Shantinagar Stop
R2988993,S0017,11,Tinkune Stop
R2988993,S0074,12,नयाँ बानेश्वर
R2988993,S0107,12,Koteshwor Stop
R2988993,S0114,13,Baneshwor Bus Station
R2988993,S0159,13,Jadibuti
R2988993,S0022,14,Lokanthali North
R2988993,S0004,15,Kaushaltar
R2988993,S0092,16,Gathaghar
R2988993,S0203,17,Tinkune Subidhanagar
R2988993,S0007,17,Chardobato
R2988993,S0147,19,Radhe Radhe
R2988993,S0215,20,Jadibuti Stop
R2988993,S0202,20,Srijananagar
R2988993,S0159,21,Jadibuti
R2988993,S0098,21,Tinkune Bhaktapur
R2988993,S0095,22,Sallaghari Stop
R2988993,S0229,23,Chundevi Bus Stop (Chunudevi)
R2988993,S0019,24,Barahi Movies
R2988993,S0089,25,Suryabinayek
R2988993,S0021,26,Thimi
R2988993,S0178,26,Adarsha
R2988993,S0190,27,Jagati
R2988993,S0080,28,Srijana nagar
R2988993,S0117,28,Sanga
R2988993,S0160,29,Bansdol
R2988993,S0121,30,Banepa Tindobato
R2988993,S0153,31,Poolbazar Bus Stop (Pulbazar)
R2988993,S0122,32,Chunudevi
R2988993,S0136,32,Banepa
R2988993,S0001,33,KU Bus Stand (26 Kilo)
R2988993,S0183,34,Dhulikhel Stop
R2989012,S0198,1,Purano Bus Park
R2989012,S0086,2,Tourism Board Stop
R2989012,S0067,3,Shahid Gate
R2989012,S0076,4,Sundhara Stop
R2989012,S0056,4,Tripureshwor
R2989012,S0023,5,Kalimati
R2989012,S0230,6,Balkhu
R2989012,S0233,7,Balkhu Stop
R2989012,S0225,8,Kumari Club
R2989012,S0043,9,TU Gate
R2989012,S0049,10,Naya Bato
R2989012,S0073,11,Chobhar Gate
R2989012,S0173,12,Dakshinkali
R2989021,S0219,1,Lagankhel
R2989021,S0194,2,Batuk Bhairav
R2989021,S0112,3,Lagankhel Stop
R2989021,S0223,4,Lalitpur Industrial Estate
R2989021,S0011,5,Satdobato Chowk Stop
R2989021,S0216,6,Thecho
R2989021,S0060,7,Chapagaun
R2989027,S0224,1,Changu Narayan
R2989027,S0165,2,Mahakali Stop
R2989027,S0199,3,Byasi Stop
R2989027,S0081,4,Bhaktapur Hospital Stop
R2989027,S0161,5,Bhaktapur Bus Park
R2989027,S0014,6,Sallaghari North
R2989027,S0098,7,Tinkune Bhaktapur
R2989027,S0080,8,Srijana nagar
R2989027,S0202,9,Srijananagar
R2989027,S0147,10,Radhe Radhe
R2989027,S0110,11,Thimi Stop
R2989027,S0021,12,Thimi
R2989027,S0007,13,Chardobato
R2989027,S0092,14,Gathaghar
R2989027,S0004,15,Kaushaltar
R2989027,S0022,16,Lokanthali North
R2989027,S0159,17,Jadibuti
R2989027,S0215,18,Jadibuti Stop
R2989027,S0159,19,Jadibuti
R2989027,S0107,20,Koteshwor Stop
R2989027,S0017,21,Tinkune Stop
R2989027,S0203,22,Tinkune Subidhanagar
R2989027,S0127,23,Shantinagar Stop
R2989027,S0029,24,Minbhawan
R2989027,S0114,25,Baneshwor Bus Station
R2989027,S0074,26,नयाँ बानेश्वर
R2989027,S0034,27,Buddhanagar Stop
R2989027,S0062,28,Babarmahal Stop East
R2989027,S0034,29,Buddhanagar Stop
R2989027,S0028,30,Babarmahal
